Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name
4/11/2005,Test,New Zealand,Opponent,38 runs,Basin Reserve,2005,male,New Zealand,field,L Vincent,Sri Lanka tour of New Zealand
8/2/2005,ODI,West Indies,Sri Lanka,50 runs,Rangiri Dambulla International Stadium,2005,male,Sri Lanka,bat,MF Maharoof,Indian Oil Cup
8/6/2005,ODI,West Indies,Opponent,33 runs,"R.Premadasa Stadium, Khettarama",2005,male,West Indies,bat,OAC Banks,Indian Oil Cup
8/31/2005,ODI,Bangladesh,Sri Lanka,88 runs,Sinhalese Sports Club Ground,2005,male,Bangladesh,field,DPMD Jayawardene,Bangladesh tour of Sri Lanka
9/12/2005,Test,Bangladesh,Sri Lanka,96 runs,R.Premadasa Stadium,2005,male,Sri Lanka,field,M Muralitharan,Bangladesh tour of Sri Lanka
9/20/2005,Test,Bangladesh,Sri Lanka,69 runs,P Sara Oval,2005,male,Sri Lanka,bat,TT Samaraweera,Bangladesh tour of Sri Lanka
10/25/2005,ODI,India,Opponent,152 runs,Vidarbha C.A. Ground,2005,male,India,bat,R Dravid,Sri Lanka tour of India
10/28/2005,ODI,India,Opponent,8 wickets,"Punjab Cricket Association IS Bindra Stadium, Mohali",2005,male,India,field,IK Pathan,Sri Lanka tour of India
11/3/2005,ODI,India,Opponent,4 wickets,Nehru Stadium,2005,male,India,field,AB Agarkar,Sri Lanka tour of India
11/6/2005,ODI,India,Sri Lanka,5 wickets,"Sardar Patel (Gujarat) Stadium, Motera",2005,male,Sri Lanka,field,TM Dilshan,Sri Lanka tour of India
11/9/2005,ODI,India,Opponent,7 wickets,Madhavrao Scindia Cricket Ground,2005,male,India,field,RP Singh,Sri Lanka tour of India
11/12/2005,ODI,India,Opponent,5 wickets,Reliance Stadium,2005,male,Sri Lanka,bat,IK Pathan,Sri Lanka tour of India
12/18/2005,Test,India,Opponent,259 runs,Sardar Patel Stadium,2005,male,India,bat,Harbhajan Singh,Sri Lanka tour of India
12/31/2005,ODI,New Zealand,Opponent,7 wickets,John Davies Oval,2005,male,New Zealand,field,PG Fulton,Sri Lanka tour of New Zealand
1/3/2006,ODI,New Zealand,Opponent,5 wickets,Jade Stadium,2006,male,New Zealand,field,WU Tharanga,Sri Lanka in New Zealand ODI Series
1/6/2006,ODI,New Zealand,Opponent,21 runs,Westpac Stadium,2006,male,New Zealand,bat,JS Patel,Sri Lanka in New Zealand ODI Series
1/17/2006,ODI,South Africa,Sri Lanka,94 runs,"Brisbane Cricket Ground, Woolloongabba",2006,male,South Africa,field,KC Sangakkara,VB Series
1/22/2006,ODI,Australia,Sri Lanka,51 runs,Sydney Cricket Ground,2006,male,Sri Lanka,bat,ST Jayasuriya,VB Series
1/24/2006,ODI,South Africa,Opponent,9 runs,Adelaide Oval,2006,male,South Africa,bat,HH Dippenaar,VB Series
1/26/2006,ODI,Australia,Opponent,5 wickets,Adelaide Oval,2006,male,Sri Lanka,bat,A Symonds,VB Series
1/29/2006,ODI,Australia,Opponent,6 wickets,Western Australia Cricket Association Ground,2006,male,Sri Lanka,bat,AC Gilchrist,VB Series
1/31/2006,ODI,South Africa,Opponent,5 wickets,Western Australia Cricket Association Ground,2006,male,Sri Lanka,bat,GC Smith,VB Series
2/7/2006,ODI,South Africa,Sri Lanka,76 runs,Bellerive Oval,2006,male,Sri Lanka,bat,HMCM Bandara,VB Series
2/10/2006,ODI,Australia,Sri Lanka,22 runs,Adelaide Oval,2006,male,Sri Lanka,bat,KC Sangakkara,VB Series
2/12/2006,ODI,Australia,Opponent,167 runs,Sydney Cricket Ground,2006,male,Australia,bat,A Symonds,VB Series
2/14/2006,ODI,Australia,Opponent,9 wickets,"Brisbane Cricket Ground, Woolloongabba",2006,male,Sri Lanka,bat,AC Gilchrist,VB Series
2/20/2006,ODI,Bangladesh,Sri Lanka,5 wickets,Shaheed Chandu Stadium,2006,male,Bangladesh,bat,PDRL Perera,Sri Lanka in Bangladesh ODI Series
2/22/2006,ODI,Bangladesh,Opponent,4 wickets,Shaheed Chandu Stadium,2006,male,Bangladesh,field,Aftab Ahmed,Sri Lanka in Bangladesh ODI Series
2/25/2006,ODI,Bangladesh,Sri Lanka,78 runs,Chittagong Divisional Stadium,2006,male,Bangladesh,field,KC Sangakkara,Sri Lanka in Bangladesh ODI Series
2/28/2006,Test,Bangladesh,Sri Lanka,8 wickets,Zahur Ahmed Chowdhury Stadium,2006,male,Bangladesh,bat,Mohammad Ashraful,Sri Lanka tour of Bangladesh
3/8/2006,Test,Bangladesh,Sri Lanka,10 wickets,Shaheed Chandu Stadium,2006,male,Bangladesh,bat,WU Tharanga,Sri Lanka tour of Bangladesh
3/17/2006,ODI,Pakistan,No Result,,R Premadasa Stadium,2006,male,Sri Lanka,field,,Pakistan in Sri Lanka ODI Series
3/19/2006,ODI,Pakistan,Opponent,4 wickets,R Premadasa Stadium,2006,male,Pakistan,field,Abdul Razzaq,Pakistan in Sri Lanka ODI Series
3/22/2006,ODI,Pakistan,Opponent,4 wickets,Sinhalese Sports Club Ground,2006,male,Pakistan,field,Shahid Afridi,Pakistan in Sri Lanka ODI Series
4/3/2006,Test,Pakistan,Opponent,8 wickets,Asgiriya Stadium,2006,male,Pakistan,field,Mohammad Asif,Pakistan tour of Sri Lanka
5/11/2006,Test,England,Draw,,Lord's,2006,male,England,bat,DPMD Jayawardene,Sri Lanka tour of England
5/25/2006,Test,England,Opponent,6 wickets,Edgbaston,2006,male,Sri Lanka,bat,KP Pietersen,Sri Lanka tour of England
6/2/2006,Test,England,Sri Lanka,134 runs,Trent Bridge,2006,male,Sri Lanka,bat,M Muralitharan,Sri Lanka tour of England
6/15/2006,T20,England,Sri Lanka,2 runs,The Rose Bowl,2006,male,Sri Lanka,bat,ST Jayasuriya,Sri Lanka tour of England
6/17/2006,ODI,England,Sri Lanka,20 runs,Lord's,2006,male,England,field,WU Tharanga,NatWest Series
6/20/2006,ODI,England,Sri Lanka,46 runs,Kennington Oval,2006,male,Sri Lanka,bat,ST Jayasuriya,NatWest Series
6/24/2006,ODI,England,Sri Lanka,8 wickets,Riverside Ground,2006,male,England,bat,DPMD Jayawardene,NatWest Series
6/28/2006,ODI,England,Sri Lanka,33 runs,Old Trafford,2006,male,Sri Lanka,bat,DPMD Jayawardene,NatWest Series
7/1/2006,ODI,England,Sri Lanka,8 wickets,Headingley,2006,male,England,bat,ST Jayasuriya,NatWest Series
7/27/2006,Test,South Africa,Sri Lanka,153 runs,Sinhalese Sports Club Ground,2006,male,South Africa,bat,DPMD Jayawardene,South Africa tour of Sri Lanka
8/4/2006,Test,South Africa,Sri Lanka,1 wickets,P Sara Oval,2006,male,South Africa,bat,DPMD Jayawardene,South Africa tour of Sri Lanka
8/18/2006,ODI,India,No Result,,Sinhalese Sports Club Ground,2006,male,India,bat,,India in Sri Lanka ODI Series
10/7/2006,ODI,Bangladesh,Sri Lanka,37 runs,"Punjab Cricket Association Stadium, Mohali",2006,male,Bangladesh,field,WU Tharanga,ICC Champions Trophy
10/10/2006,ODI,Zimbabwe,Sri Lanka,144 runs,"Sardar Patel Stadium, Motera",2006,male,Sri Lanka,bat,WU Tharanga,ICC Champions Trophy
10/14/2006,ODI,West Indies,Sri Lanka,9 wickets,Brabourne Stadium,2006,male,West Indies,bat,MF Maharoof,ICC Champions Trophy
10/17/2006,ODI,Pakistan,Opponent,4 wickets,Sawai Mansingh Stadium,2006,male,Sri Lanka,bat,Abdul Razzaq,ICC Champions Trophy
10/20/2006,ODI,New Zealand,Sri Lanka,7 wickets,Brabourne Stadium,2006,male,New Zealand,bat,M Muralitharan,ICC Champions Trophy
10/24/2006,ODI,South Africa,Opponent,78 runs,"Sardar Patel Stadium, Motera",2006,male,Sri Lanka,field,SM Pollock,ICC Champions Trophy
12/7/2006,Test,New Zealand,Opponent,5 wickets,AMI Stadium,2006,male,Sri Lanka,bat,SE Bond,Sri Lanka tour of New Zealand
12/15/2006,Test,New Zealand,Sri Lanka,217 runs,Basin Reserve,2006,male,Sri Lanka,bat,LPC Silva,Sri Lanka tour of New Zealand
12/22/2006,T20,New Zealand,Sri Lanka,18 runs,Westpac Stadium,2006,male,New Zealand,bat,ST Jayasuriya,Sri Lanka in New Zealand T20I Series
