Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name,Home_Away
2009-02-05,ODI,India,Opponent,67 runs,R Premadasa Stadium,2009,male,India,bat,G Gambhir,India in Sri Lanka ODI Series,Home
2009-02-08,ODI,India,Sri Lanka,68 runs,R Premadasa Stadium,2009,male,Sri Lanka,bat,KC Sangakkara,India in Sri Lanka ODI Series,Home
2009-02-10,T20,India,Opponent,3 wickets,R Premadasa Stadium,2009,male,Sri Lanka,bat,YK Pathan,nan,Home
2009-02-21,Test,Pakistan,Draw,,National Stadium,2009,male,Sri Lanka,bat,Younis Khan,Sri Lanka in Pakistan Test Series,Away
2009-03-01,Test,Pakistan,Draw,,Gaddafi Stadium,2009,male,Pakistan,field,nan,Sri Lanka in Pakistan Test Series,Away
2009-06-08,T20,Australia,Sri Lanka,6 wickets,Trent Bridge,2009,male,Sri Lanka,field,KC Sangakkara,ICC World Twenty20,Away
2009-06-10,T20,West Indies,Sri Lanka,15 runs,Trent Bridge,2009,male,West Indies,field,ST Jayasuriya,ICC World Twenty20,Away
2009-06-12,T20,Pakistan,Sri Lanka,19 runs,Lord's,2009,male,Sri Lanka,bat,TM Dilshan,ICC World Twenty20,Away
2009-06-14,T20,Ireland,Sri Lanka,9 runs,Lord's,2009,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Twenty20,Away
2009-06-16,T20,New Zealand,Sri Lanka,48 runs,Trent Bridge,2009,male,Sri Lanka,bat,BAW Mendis,ICC World Twenty20,Away
2009-06-19,T20,West Indies,Sri Lanka,57 runs,Kennington Oval,2009,male,West Indies,field,TM Dilshan,ICC World Twenty20,Away
2009-06-21,T20,Pakistan,Opponent,8 wickets,Lord's,2009,male,Sri Lanka,bat,Shahid Afridi,ICC World Twenty20,Away
2009-07-04,Test,Pakistan,Sri Lanka,50 runs,Galle International Stadium,2009,male,Pakistan,field,HMRKB Herath,Pakistan in Sri Lanka Test Series,Home
2009-07-12,Test,Pakistan,Sri Lanka,7 wickets,P Sara Oval,2009,male,Pakistan,bat,Fawad Alam,Pakistan in Sri Lanka Test Series,Home
2009-07-20,Test,Pakistan,Draw,,Sinhalese Sports Club Ground,2009,male,Sri Lanka,field,KC Sangakkara,Pakistan in Sri Lanka Test Series,Home
2009-07-30,ODI,Pakistan,Sri Lanka,36 runs,Rangiri Dambulla International Stadium,2009,male,Pakistan,field,M Muralitharan,Pakistan in Sri Lanka ODI Series,Home
2009-08-01,ODI,Pakistan,Sri Lanka,6 wickets,Rangiri Dambulla International Stadium,2009,male,Sri Lanka,field,CK Kapugedera,Pakistan in Sri Lanka ODI Series,Home
2009-08-03,ODI,Pakistan,Sri Lanka,6 wickets,Rangiri Dambulla International Stadium,2009,male,Sri Lanka,field,DPMD Jayawardene,Pakistan in Sri Lanka ODI Series,Home
2009-08-07,ODI,Pakistan,Opponent,146 runs,R Premadasa Stadium,2009,male,Pakistan,bat,Umar Akmal,Pakistan in Sri Lanka ODI Series,Home
2009-08-09,ODI,Pakistan,Opponent,132 runs,R Premadasa Stadium,2009,male,Pakistan,bat,Naved-ul-Hasan,Pakistan in Sri Lanka ODI Series,Home
2009-08-12,T20,Pakistan,Opponent,52 runs,R Premadasa Stadium,2009,male,Pakistan,bat,Shahid Afridi,nan,Home
2009-08-18,Test,New Zealand,Sri Lanka,202 runs,Galle International Stadium,2009,male,New Zealand,field,TM Dilshan,New Zealand in Sri Lanka Test Series,Home
2009-08-26,Test,New Zealand,Sri Lanka,96 runs,Sinhalese Sports Club Ground,2009,male,Sri Lanka,bat,DPMD Jayawardene,New Zealand in Sri Lanka Test Series,Home
2009-09-02,T20,New Zealand,Opponent,3 runs,R Premadasa Stadium,2009,male,New Zealand,bat,DL Vettori,New Zealand in Sri Lanka T20I Series,Home
2009-09-04,T20,New Zealand,Opponent,22 runs,R Premadasa Stadium,2009,male,New Zealand,bat,JD Ryder,New Zealand in Sri Lanka T20I Series,Home
2009-09-08,ODI,New Zealand,Sri Lanka,97 runs,R Premadasa Stadium,2009,male,Sri Lanka,bat,TT Samaraweera,Compaq Cup,Home
2009-09-12,ODI,India,Sri Lanka,139 runs,R Premadasa Stadium,2009,male,Sri Lanka,bat,AD Mathews,Compaq Cup,Home
2009-09-14,ODI,India,Opponent,46 runs,R Premadasa Stadium,2009,male,India,bat,SR Tendulkar,Compaq Cup,Home
2009-09-22,ODI,South Africa,Sri Lanka,55 runs,SuperSport Park,2009,male,South Africa,field,TM Dilshan,ICC Champions Trophy,Away
2009-09-25,ODI,England,Opponent,6 wickets,New Wanderers Stadium,2009,male,England,field,PD Collingwood,ICC Champions Trophy,Away
2009-09-27,ODI,New Zealand,Opponent,38 runs,New Wanderers Stadium,2009,male,Sri Lanka,field,DL Vettori,ICC Champions Trophy,Away
2009-11-16,Test,India,Draw,,"Sardar Patel Stadium, Motera",2009,male,India,bat,DPMD Jayawardene,Sri Lanka in India Test Series,Away
2009-11-24,Test,India,Opponent,144 runs,Green Park,2009,male,India,bat,S Sreesanth,Sri Lanka in India Test Series,Away
2009-12-02,Test,India,Opponent,24 runs,Brabourne Stadium,2009,male,Sri Lanka,bat,V Sehwag,Sri Lanka in India Test Series,Away
2009-12-09,T20,India,Sri Lanka,29 runs,"Vidarbha Cricket Association Stadium, Jamtha",2009,male,India,field,KC Sangakkara,Sri Lanka in India T20I Series,Away
2009-12-12,T20,India,Opponent,6 wickets,"Punjab Cricket Association Stadium, Mohali",2009,male,Sri Lanka,bat,Yuvraj Singh,Sri Lanka in India T20I Series,Away
2009-12-15,ODI,India,Opponent,3 runs,Madhavrao Scindia Cricket Ground,2009,male,Sri Lanka,field,V Sehwag,Sri Lanka in India ODI Series,Away
2009-12-18,ODI,India,Sri Lanka,3 wickets,"Vidarbha Cricket Association Stadium, Jamtha",2009,male,India,bat,TM Dilshan,Sri Lanka in India ODI Series,Away
2009-12-21,ODI,India,Opponent,7 wickets,Barabati Stadium,2009,male,Sri Lanka,bat,RA Jadeja,Sri Lanka in India ODI Series,Away
2009-12-24,ODI,India,Opponent,7 wickets,Eden Gardens,2009,male,Sri Lanka,bat,G Gambhir,Sri Lanka in India ODI Series,Away
2009-12-27,ODI,India,No Result,,Feroz Shah Kotla,2009,male,India,field,nan,Sri Lanka in India ODI Series,Away
2010-01-04,ODI,Bangladesh,Sri Lanka,7 wickets,Shere Bangla National Stadium,2010,male,Sri Lanka,field,TM Dilshan,Tri-Nation Tournament in Bangladesh,Away
2010-01-05,ODI,India,Sri Lanka,5 wickets,Shere Bangla National Stadium,2010,male,Sri Lanka,field,TT Samaraweera,Tri-Nation Tournament in Bangladesh,Away
2010-01-08,ODI,Bangladesh,Sri Lanka,9 wickets,Shere Bangla National Stadium,2010,male,Sri Lanka,field,WU Tharanga,Tri-Nation Tournament in Bangladesh,Away
2010-01-10,ODI,India,Opponent,8 wickets,Shere Bangla National Stadium,2010,male,Sri Lanka,bat,Z Khan,Tri-Nation Tournament in Bangladesh,Away
2010-01-13,ODI,India,Sri Lanka,4 wickets,Shere Bangla National Stadium,2010,male,Sri Lanka,field,KMDN Kulasekara,Tri-Nation Tournament in Bangladesh,Away
2010-04-30,T20,New Zealand,Opponent,2 wickets,Providence Stadium,2010,male,Sri Lanka,bat,NL McCullum,ICC World Twenty20,Away
2010-05-03,T20,Zimbabwe,Sri Lanka,14 runs,Providence Stadium,2010,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Twenty20,Away
2010-05-07,T20,West Indies,Sri Lanka,57 runs,"Kensington Oval, Bridgetown",2010,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Twenty20,Away
2010-05-09,T20,Australia,Opponent,81 runs,"Kensington Oval, Bridgetown",2010,male,Australia,bat,CL White,ICC World Twenty20,Away
2010-05-11,T20,India,Sri Lanka,5 wickets,"Beausejour Stadium, Gros Islet",2010,male,India,bat,AD Mathews,ICC World Twenty20,Away
2010-05-13,T20,England,Opponent,7 wickets,"Beausejour Stadium, Gros Islet",2010,male,Sri Lanka,bat,SCJ Broad,ICC World Twenty20,Away
2010-05-22,T20,New Zealand,Opponent,28 runs,Central Broward Regional Park Stadium Turf Ground,2010,male,New Zealand,bat,SB Styris,New Zealand v Sri Lanka T20I Series,Away
2010-05-23,T20,New Zealand,Sri Lanka,7 wickets,Central Broward Regional Park Stadium Turf Ground,2010,male,New Zealand,bat,KMDN Kulasekara,New Zealand v Sri Lanka T20I Series,Away
2010-05-30,ODI,India,Opponent,7 wickets,Queens Sports Club,2010,male,India,field,RG Sharma,Zimbabwe Triangular Series,Away
2010-06-01,ODI,Zimbabwe,Sri Lanka,9 wickets,Queens Sports Club,2010,male,Sri Lanka,field,S Randiv,Zimbabwe Triangular Series,Away
2010-06-05,ODI,India,Sri Lanka,6 wickets,Harare Sports Club,2010,male,Sri Lanka,field,LD Chandimal,Zimbabwe Triangular Series,Away
2010-06-07,ODI,Zimbabwe,Opponent,8 wickets,Harare Sports Club,2010,male,Zimbabwe,field,BRM Taylor,Zimbabwe Triangular Series,Away
2010-06-09,ODI,Zimbabwe,Sri Lanka,9 wickets,Harare Sports Club,2010,male,Sri Lanka,field,TM Dilshan,Zimbabwe Triangular Series,Away
2010-06-15,ODI,Pakistan,Sri Lanka,16 runs,Rangiri Dambulla International Stadium,2010,male,Sri Lanka,bat,Shahid Afridi,Asia Cup,Home
2010-06-18,ODI,Bangladesh,Sri Lanka,126 runs,Rangiri Dambulla International Stadium,2010,male,Sri Lanka,bat,TM Dilshan,Asia Cup,Home
2010-06-22,ODI,India,Sri Lanka,7 wickets,Rangiri Dambulla International Stadium,2010,male,Sri Lanka,field,MF Maharoof,Asia Cup,Home
2010-06-24,ODI,India,Opponent,81 runs,Rangiri Dambulla International Stadium,2010,male,India,bat,KD Karthik,Asia Cup,Home
2010-07-18,Test,India,Sri Lanka,10 wickets,Galle International Stadium,2010,male,Sri Lanka,bat,SL Malinga,India in Sri Lanka Test Series,Home
2010-07-26,Test,India,Draw,,Sinhalese Sports Club Ground,2010,male,Sri Lanka,bat,KC Sangakkara,India in Sri Lanka Test Series,Home
2010-08-03,Test,India,Opponent,5 wickets,P Sara Oval,2010,male,Sri Lanka,bat,VVS Laxman,India in Sri Lanka Test Series,Home
2010-08-13,ODI,New Zealand,Sri Lanka,3 wickets,Rangiri Dambulla International Stadium,2010,male,New Zealand,bat,WU Tharanga,Sri Lanka Triangular Series,Home
2010-08-16,ODI,India,Opponent,6 wickets,Rangiri Dambulla International Stadium,2010,male,Sri Lanka,bat,V Sehwag,Sri Lanka Triangular Series,Home
2010-08-19,ODI,New Zealand,No Result,,Rangiri Dambulla International Stadium,2010,male,New Zealand,field,nan,Sri Lanka Triangular Series,Home
2010-08-22,ODI,India,Sri Lanka,8 wickets,Rangiri Dambulla International Stadium,2010,male,India,bat,NLTC Perera,Sri Lanka Triangular Series,Home
2010-08-28,ODI,India,Sri Lanka,74 runs,Rangiri Dambulla International Stadium,2010,male,Sri Lanka,bat,TM Dilshan,Sri Lanka Triangular Series,Home
2010-10-31,T20,Australia,Sri Lanka,7 wickets,Western Australia Cricket Association Ground,2010,male,Australia,bat,S Randiv,nan,Away
2010-11-03,ODI,Australia,Sri Lanka,1 wicket,Melbourne Cricket Ground,2010,male,Australia,bat,AD Mathews,Sri Lanka in Australia ODI Series,Away
2010-11-05,ODI,Australia,Sri Lanka,29 runs,Sydney Cricket Ground,2010,male,Sri Lanka,bat,WU Tharanga,Sri Lanka in Australia ODI Series,Away
2010-11-07,ODI,Australia,Opponent,8 wickets,"Brisbane Cricket Ground, Woolloongabba",2010,male,Sri Lanka,bat,CJ McKay,Sri Lanka in Australia ODI Series,Away
2010-11-15,Test,West Indies,Draw,,Galle International Stadium,2010,male,West Indies,bat,CH Gayle,West Indies in Sri Lanka Test Series,Home
2010-11-23,Test,West Indies,Draw,,R Premadasa Stadium,2010,male,Sri Lanka,bat,KC Sangakkara,West Indies in Sri Lanka Test Series,Home
2010-12-01,Test,West Indies,Draw,,Pallekele International Cricket Stadium,2010,male,Sri Lanka,field,nan,West Indies in Sri Lanka Test Series,Home
2011-01-31,ODI,West Indies,No Result,,Sinhalese Sports Club Ground,2011,male,West Indies,bat,nan,West Indies in Sri Lanka ODI Series,Home
2011-02-03,ODI,West Indies,Sri Lanka,8 wickets,Sinhalese Sports Club Ground,2011,male,Sri Lanka,field,WU Tharanga,West Indies in Sri Lanka ODI Series,Home
2011-02-06,ODI,West Indies,Sri Lanka,26 runs,Sinhalese Sports Club Ground,2011,male,West Indies,field,KC Sangakkara,West Indies in Sri Lanka ODI Series,Home
2011-02-20,ODI,Canada,Sri Lanka,210 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011,male,Sri Lanka,bat,DPMD Jayawardene,ICC Cricket World Cup,Away
2011-02-26,ODI,Pakistan,Opponent,11 runs,R Premadasa Stadium,2011,male,Pakistan,bat,Shahid Afridi,ICC Cricket World Cup,Home
2011-03-01,ODI,Kenya,Sri Lanka,9 wickets,R Premadasa Stadium,2011,male,Kenya,bat,SL Malinga,ICC Cricket World Cup,Home
2011-03-05,ODI,Australia,No Result,,R Premadasa Stadium,2011,male,Sri Lanka,bat,nan,ICC Cricket World Cup,Home
2011-03-10,ODI,Zimbabwe,Sri Lanka,139 runs,Pallekele International Cricket Stadium,2011,male,Zimbabwe,field,TM Dilshan,ICC Cricket World Cup,Home
2011-03-18,ODI,New Zealand,Sri Lanka,112 runs,Wankhede Stadium,2011,male,Sri Lanka,bat,KC Sangakkara,ICC Cricket World Cup,Away
2011-03-26,ODI,England,Sri Lanka,10 wickets,R Premadasa Stadium,2011,male,England,bat,TM Dilshan,ICC Cricket World Cup,Home
2011-03-29,ODI,New Zealand,Sri Lanka,5 wickets,R Premadasa Stadium,2011,male,New Zealand,bat,KC Sangakkara,ICC Cricket World Cup,Home
2011-04-02,ODI,India,Opponent,6 wickets,Wankhede Stadium,2011,male,Sri Lanka,bat,MS Dhoni,ICC Cricket World Cup,Away
2011-05-26,Test,England,Opponent,14 runs,Sophia Gardens,2011,male,Sri Lanka,bat,IJL Trott,Sri Lanka in England Test Series,Away
2011-06-03,Test,England,Draw,,Lord's,2011,male,Sri Lanka,field,TM Dilshan,Sri Lanka in England Test Series,Away
2011-06-16,Test,England,Draw,,The Rose Bowl,2011,male,England,field,CT Tremlett,Sri Lanka in England Test Series,Away
2011-06-25,T20,England,Sri Lanka,9 wickets,County Ground,2011,male,Sri Lanka,field,DPMD Jayawardene,nan,Away
2011-06-28,ODI,England,Opponent,110 runs,Kennington Oval,2011,male,Sri Lanka,field,JM Anderson,NatWest Series,Away
2011-07-01,ODI,England,Sri Lanka,69 runs,Headingley,2011,male,England,field,DPMD Jayawardene,NatWest Series,Away
2011-07-03,ODI,England,Sri Lanka,6 wickets,Lord's,2011,male,England,bat,LD Chandimal,NatWest Series,Away
2011-07-06,ODI,England,Opponent,10 wickets,Trent Bridge,2011,male,England,field,AN Cook,NatWest Series,Away
2011-07-09,ODI,England,Opponent,16 runs,Old Trafford,2011,male,England,bat,IJL Trott,NatWest Series,Away
2011-08-06,T20,Australia,Sri Lanka,35 runs,Pallekele International Cricket Stadium,2011,male,Australia,field,TM Dilshan,Australia in Sri Lanka T20I Series,Home
2011-08-08,T20,Australia,Sri Lanka,8 runs,Pallekele International Cricket Stadium,2011,male,Sri Lanka,bat,BAW Mendis,Australia in Sri Lanka T20I Series,Home
2011-08-10,ODI,Australia,Opponent,7 wickets,Pallekele International Cricket Stadium,2011,male,Sri Lanka,bat,MG Johnson,Australia in Sri Lanka ODI Series,Home
2011-08-14,ODI,Australia,Opponent,8 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011,male,Sri Lanka,bat,RT Ponting,Australia in Sri Lanka ODI Series,Away
2011-08-16,ODI,Australia,Sri Lanka,78 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011,male,Australia,field,WU Tharanga,Australia in Sri Lanka ODI Series,Away
2011-08-20,ODI,Australia,Opponent,5 wickets,R Premadasa Stadium,2011,male,Sri Lanka,bat,XJ Doherty,Australia in Sri Lanka ODI Series,Home
2011-08-22,ODI,Australia,Sri Lanka,4 wickets,R Premadasa Stadium,2011,male,Sri Lanka,field,SL Malinga,Australia in Sri Lanka ODI Series,Home
2011-08-31,Test,Australia,Opponent,125 runs,Galle International Stadium,2011,male,Australia,bat,MEK Hussey,Warne-Muralitharan Trophy,Home
2011-09-08,Test,Australia,Draw,,Pallekele International Cricket Stadium,2011,male,Sri Lanka,bat,MEK Hussey,Warne-Muralitharan Trophy,Home
2011-09-16,Test,Australia,Draw,,Sinhalese Sports Club Ground,2011,male,Sri Lanka,field,MEK Hussey,Warne-Muralitharan Trophy,Home
2011-10-18,Test,Pakistan,Draw,,Sheikh Zayed Stadium,2011,male,Pakistan,field,KC Sangakkara,Pakistan v Sri Lanka Test Series,Away
2011-10-26,Test,Pakistan,Opponent,9 wickets,Dubai International Cricket Stadium,2011,male,Sri Lanka,bat,Saeed Ajmal,Pakistan v Sri Lanka Test Series,Away
2011-11-03,Test,Pakistan,Draw,,Sharjah Cricket Stadium,2011,male,Sri Lanka,bat,KC Sangakkara,Pakistan v Sri Lanka Test Series,Away
2011-11-11,ODI,Pakistan,Opponent,8 wickets,Dubai International Cricket Stadium,2011,male,Sri Lanka,bat,Shahid Afridi,Pakistan v Sri Lanka ODI Series,Away
2011-11-14,ODI,Pakistan,Sri Lanka,25 runs,Dubai International Cricket Stadium,2011,male,Sri Lanka,bat,SL Malinga,Pakistan v Sri Lanka ODI Series,Away
2011-11-18,ODI,Pakistan,Opponent,21 runs,Dubai International Cricket Stadium,2011,male,Pakistan,bat,Mohammad Hafeez,Pakistan v Sri Lanka ODI Series,Away
2011-11-20,ODI,Pakistan,Opponent,26 runs,Sharjah Cricket Stadium,2011,male,Pakistan,bat,Shahid Afridi,Pakistan v Sri Lanka ODI Series,Away
2011-11-23,ODI,Pakistan,Opponent,3 wickets,Sheikh Zayed Stadium,2011,male,Sri Lanka,bat,Umar Akmal,Pakistan v Sri Lanka ODI Series,Away
2011-11-25,T20,Pakistan,Opponent,5 wickets,Sheikh Zayed Stadium,2011,male,Sri Lanka,bat,Aizaz Cheema,nan,Away
2011-12-15,Test,South Africa,Opponent,81 runs,SuperSport Park,2011,male,South Africa,field,VD Philander,Sri Lanka in South Africa Test Series,Away
2011-12-26,Test,South Africa,Sri Lanka,208 runs,Kingsmead,2011,male,Sri Lanka,bat,HMRKB Herath,Sri Lanka in South Africa Test Series,Away
2012-01-03,Test,South Africa,Opponent,10 wickets,Newlands,2012,male,Sri Lanka,field,JH Kallis,Sri Lanka in South Africa Test Series,Away
2012-01-11,ODI,South Africa,Opponent,258 runs,Boland Park,2012,male,South Africa,bat,M Morkel,Sri Lanka in South Africa ODI Series,Away
2012-01-14,ODI,South Africa,Opponent,5 wickets,Buffalo Park,2012,male,South Africa,field,JP Duminy,Sri Lanka in South Africa ODI Series,Away
2012-01-17,ODI,South Africa,Opponent,4 runs,Chevrolet Park,2012,male,Sri Lanka,bat,F du Plessis,Sri Lanka in South Africa ODI Series,Away
2012-01-20,ODI,South Africa,Sri Lanka,5 wickets,De Beers Diamond Oval,2012,male,South Africa,bat,NLTC Perera,Sri Lanka in South Africa ODI Series,Away
2012-01-22,ODI,South Africa,Sri Lanka,2 wickets,New Wanderers Stadium,2012,male,Sri Lanka,field,KC Sangakkara,Sri Lanka in South Africa ODI Series,Away
2012-02-08,ODI,India,Opponent,4 wickets,Western Australia Cricket Association Ground,2012,male,Sri Lanka,bat,R Ashwin,Commonwealth Bank Series,Away
2012-02-10,ODI,Australia,Opponent,5 runs,Western Australia Cricket Association Ground,2012,male,Sri Lanka,field,MJ Clarke,Commonwealth Bank Series,Away
2012-02-14,ODI,India,Tie,,Adelaide Oval,2012,male,Sri Lanka,bat,MS Dhoni,Commonwealth Bank Series,Away
2012-02-17,ODI,Australia,Sri Lanka,8 wickets,Sydney Cricket Ground,2012,male,Australia,bat,NLTC Perera,Commonwealth Bank Series,Away
2012-02-21,ODI,India,Sri Lanka,51 runs,"Brisbane Cricket Ground, Woolloongabba",2012,male,Sri Lanka,bat,KMDN Kulasekara,Commonwealth Bank Series,Away
2012-02-24,ODI,Australia,Sri Lanka,3 wickets,Bellerive Oval,2012,male,Australia,bat,DPMD Jayawardene,Commonwealth Bank Series,Away
2012-02-28,ODI,India,Opponent,7 wickets,Bellerive Oval,2012,male,India,field,V Kohli,Commonwealth Bank Series,Away
2012-03-02,ODI,Australia,Sri Lanka,9 runs,Melbourne Cricket Ground,2012,male,Sri Lanka,bat,LD Chandimal,Commonwealth Bank Series,Away
2012-03-04,ODI,Australia,Opponent,15 runs,"Brisbane Cricket Ground, Woolloongabba",2012,male,Australia,bat,DA Warner,Commonwealth Bank Series,Away
2012-03-06,ODI,Australia,Sri Lanka,8 wickets,Adelaide Oval,2012,male,Australia,bat,TM Dilshan,Commonwealth Bank Series,Away
2012-03-08,ODI,Australia,Opponent,16 runs,Adelaide Oval,2012,male,Sri Lanka,field,CJ McKay,Commonwealth Bank Series,Away
2012-03-13,ODI,India,Opponent,50 runs,Shere Bangla National Stadium,2012,male,Sri Lanka,field,V Kohli,Asia Cup,Away
2012-03-15,ODI,Pakistan,Opponent,6 wickets,Shere Bangla National Stadium,2012,male,Sri Lanka,bat,Aizaz Cheema,Asia Cup,Away
2012-03-20,ODI,Bangladesh,Opponent,5 wickets,Shere Bangla National Stadium,2012,male,Bangladesh,field,Shakib Al Hasan,Asia Cup,Away
2012-03-26,Test,England,Sri Lanka,75 runs,Galle International Stadium,2012,male,Sri Lanka,bat,HMRKB Herath,England in Sri Lanka Test Series,Home
2012-04-03,Test,England,Opponent,8 wickets,P Sara Oval,2012,male,Sri Lanka,bat,KP Pietersen,England in Sri Lanka Test Series,Home
2012-06-01,T20,Pakistan,Sri Lanka,37 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,Sri Lanka,bat,NLTC Perera,Pakistan in Sri Lanka T20I Series,Away
2012-06-03,T20,Pakistan,Opponent,23 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,Pakistan,bat,Shahid Afridi,Pakistan in Sri Lanka T20I Series,Away
2012-06-07,ODI,Pakistan,Opponent,6 wickets,Pallekele International Cricket Stadium,2012,male,Sri Lanka,bat,Umar Gul,Pakistan in Sri Lanka ODI Series,Home
2012-06-09,ODI,Pakistan,Sri Lanka,76 runs,Pallekele International Cricket Stadium,2012,male,Sri Lanka,bat,NLTC Perera,Pakistan in Sri Lanka ODI Series,Home
2012-06-13,ODI,Pakistan,No Result,,R Premadasa Stadium,2012,male,Pakistan,bat,nan,Pakistan in Sri Lanka ODI Series,Home
2012-06-16,ODI,Pakistan,Sri Lanka,44 runs,R Premadasa Stadium,2012,male,Sri Lanka,bat,NLTC Perera,Pakistan in Sri Lanka ODI Series,Home
2012-06-18,ODI,Pakistan,Sri Lanka,2 wickets,R Premadasa Stadium,2012,male,Pakistan,bat,AD Mathews,Pakistan in Sri Lanka ODI Series,Home
2012-06-22,Test,Pakistan,Sri Lanka,209 runs,Galle International Stadium,2012,male,Sri Lanka,bat,KC Sangakkara,Pakistan in Sri Lanka Test Series,Home
2012-06-30,Test,Pakistan,Draw,,Sinhalese Sports Club Ground,2012,male,Sri Lanka,field,Junaid Khan,Pakistan in Sri Lanka Test Series,Home
2012-07-08,Test,Pakistan,Draw,,Pallekele International Cricket Stadium,2012,male,Sri Lanka,field,Asad Shafiq,Pakistan in Sri Lanka Test Series,Home
2012-07-21,ODI,India,Opponent,21 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,India,bat,V Kohli,India in Sri Lanka ODI Series,Away
2012-07-24,ODI,India,Sri Lanka,9 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,India,bat,NLTC Perera,India in Sri Lanka ODI Series,Away
2012-07-28,ODI,India,Opponent,5 wickets,R Premadasa Stadium,2012,male,Sri Lanka,bat,SK Raina,India in Sri Lanka ODI Series,Home
2012-07-31,ODI,India,Opponent,6 wickets,R Premadasa Stadium,2012,male,Sri Lanka,bat,V Kohli,India in Sri Lanka ODI Series,Home
2012-08-04,ODI,India,Opponent,20 runs,Pallekele International Cricket Stadium,2012,male,India,bat,IK Pathan,India in Sri Lanka ODI Series,Home
2012-08-07,T20,India,Opponent,39 runs,Pallekele International Cricket Stadium,2012,male,Sri Lanka,field,IK Pathan,nan,Home
2012-09-18,T20,Zimbabwe,Sri Lanka,82 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,Zimbabwe,field,BAW Mendis,ICC World Twenty20,Away
2012-09-22,T20,South Africa,Opponent,32 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,Sri Lanka,field,AB de Villiers,ICC World Twenty20,Away
2012-09-26,T20,South Africa,Opponent,6 wickets,Galle International Stadium,2012,female,South Africa,field,T Chetty,ICC Women's World Twenty20,Home
2012-09-27,T20,New Zealand,Tie,,Pallekele International Cricket Stadium,2012,male,New Zealand,bat,TM Dilshan,ICC World Twenty20,Home
2012-09-28,T20,West Indies,Sri Lanka,5 runs,Galle International Stadium,2012,female,West Indies,field,CR Seneviratna,ICC Women's World Twenty20,Home
2012-09-29,T20,West Indies,Sri Lanka,9 wickets,Pallekele International Cricket Stadium,2012,male,West Indies,bat,DPMD Jayawardene,ICC World Twenty20,Home
2012-09-30,T20,New Zealand,Opponent,8 wickets,Galle International Stadium,2012,female,Sri Lanka,bat,SJ McGlashan,ICC Women's World Twenty20,Home
2012-10-01,T20,England,Sri Lanka,19 runs,Pallekele International Cricket Stadium,2012,male,England,field,SL Malinga,ICC World Twenty20,Home
2012-10-03,T20,India,Opponent,9 wickets,Nondescripts Cricket Club Ground,2012,female,Sri Lanka,bat,E Bisht,ICC Women's World Twenty20,Away
2012-10-04,T20,Pakistan,Sri Lanka,16 runs,R Premadasa Stadium,2012,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Twenty20,Home
2012-10-07,T20,West Indies,Opponent,36 runs,R Premadasa Stadium,2012,male,West Indies,bat,MN Samuels,ICC World Twenty20,Home
2012-10-28,T20,Bangladesh,Opponent,5 runs,Guanggong International Cricket Stadium,2012,female,Sri Lanka,field,Salma Khatun,Asian Cricket Council Women's Twenty20 Asia Cup,Away
2012-10-30,T20,New Zealand,No Result,,Pallekele International Cricket Stadium,2012,male,Sri Lanka,field,nan,nan,Home
2012-11-04,ODI,New Zealand,Sri Lanka,14 runs,Pallekele International Cricket Stadium,2012,male,New Zealand,bat,SL Malinga,New Zealand in Sri Lanka ODI Series,Home
2012-11-06,ODI,New Zealand,Sri Lanka,7 wickets,Pallekele International Cricket Stadium,2012,male,Sri Lanka,field,TM Dilshan,New Zealand in Sri Lanka ODI Series,Home
2012-11-10,ODI,New Zealand,Sri Lanka,7 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,Sri Lanka,field,BMAJ Mendis,New Zealand in Sri Lanka ODI Series,Away
2012-11-12,ODI,New Zealand,No Result,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,male,New Zealand,field,nan,New Zealand in Sri Lanka ODI Series,Away
2012-11-17,Test,New Zealand,Sri Lanka,10 wickets,Galle International Stadium,2012,male,New Zealand,bat,HMRKB Herath,New Zealand in Sri Lanka Test Series,Home
2012-11-25,Test,New Zealand,Opponent,167 runs,P Sara Oval,2012,male,New Zealand,bat,LRPL Taylor,New Zealand in Sri Lanka Test Series,Home
